
Expected reductions: Top
croon -- 38.02693602693602
slorm -- 37.88299663299663
vrows -- 37.32491582491581
broth -- 36.98063973063972
trogs -- 36.60690235690235
hocks -- 36.48316498316498
dolls -- 36.25757575757575
brock -- 36.126262626262616
plook -- 35.84259259259259
ycond -- 35.61279461279461
yolky -- 35.54545454545454
phots -- 35.5117845117845
bombs -- 35.398148148148145
trots -- 34.81060606060605
kophs -- 34.61531986531986
tolts -- 34.59595959595959
lolog -- 34.585016835016816
yonks -- 34.54882154882154
mosts -- 34.51683501683501
crost -- 34.010101010101
flops -- 34.00757575757575
stood -- 33.986531986531986
porns -- 33.98400673400674
roofy -- 33.92087542087542
poohs -- 33.87710437710437
porks -- 33.861952861952865
chogs -- 33.78787878787878
wooly -- 33.781144781144775
crowd -- 33.731481481481474
kobos -- 33.69191919191918
snowk -- 33.6574074074074
scots -- 33.654882154882145
gothy -- 33.63215488215488
mohos -- 33.536195286195266
mossy -- 33.47558922558922
rotls -- 33.43855218855219
crony -- 33.26767676767676
probs -- 33.21969696969696
snort -- 33.18013468013467
troth -- 33.03451178451178
knows -- 33.01346801346801
crown -- 32.97138047138046
plows -- 32.9604377104377
coomy -- 32.956228956228955
yolks -- 32.94023569023569
clonk -- 32.93434343434343
rolls -- 32.91329966329967
stymy -- 32.87626262626262
boofy -- 32.858585858585855
wormy -- 32.820707070707066
